Product,TC_ID,TC_Category,TC_Title,TC_Layer,TC_Customers,TC_FixVersion,DateTime_Started,DateTime_Finished,TestRun-Duration,TestRun-Result,TestRun-Retries,Env-CoreServiceVersion,Env-EnvName,Env-StackName
NFS,NFS-11094,Smoke,SmokeTC003 - Contract Event (Without GVI),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 5:48,10/17/2025 5:51,0:03:32,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10857,Smoke,SmokeTC002 - Contract Event (With GVI),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 5:47,10/17/2025 5:50,0:03:36,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10859,Smoke,"SmokeTC004 - Perform multiple AG Events, then close AG using Termination Option",UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 5:54,10/17/2025 6:12,0:17:28,PASSED,1,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10817,Smoke,SmokeTC001 - Product TC 1 & 2,UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 5:47,10/17/2025 5:55,0:08:30,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-8035,Smoke,SmokeTC007 - NFS Mass Export (Contract),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:07,10/17/2025 6:18,0:11:33,PASSED,1,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10862,Smoke,SmokeTC006 - Periodic Posting Status Report (IAS & GAAP),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 5:50,10/17/2025 6:07,0:16:33,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-2086,Smoke,SmokeTC005 - Perform Sap External postings (Simple With GVI),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 5:50,10/17/2025 6:10,0:20:04,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10864,Smoke,SmokeTC008 - Create GL Balance Report Profile & Job (IAS & GAAP Standard),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:11,10/17/2025 6:13,0:01:33,PASSED,1,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10865,Smoke,"SmokeTC009 - Validating workflows for MLA, Contract, Lease component and AG at inception level",UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:10,10/17/2025 6:16,0:05:59,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10868,Smoke,"SmokeTC012 - Validating workflows for Contract, Lease component and AG at event level",UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:16,10/17/2025 6:21,0:04:48,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10866,Smoke,SmokeTC010 - Mass Modification - Create Mass Modification Profile & Job,UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:12,10/17/2025 6:23,0:11:22,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-8015,Smoke,SmokeTC011 - NFS Mass Export (Lease Component),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:13,10/17/2025 6:24,0:11:08,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10869,Smoke,SmokeTC013 - Create CPI Local Mass Indexation Profile & Job (Lease & Non-Lease),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:18,10/17/2025 6:26,0:07:26,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10878,Smoke,SmokeTC017 - Perform Activity Analysis Report Job with Profile (IAS & GAAP),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:30,10/17/2025 6:34,0:04:14,PASSED,1,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10877,Smoke,SmokeTC016 - Perform Mass Import Job for LC and Charge (Non-GVI),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:24,10/17/2025 6:35,0:11:11,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10870,Smoke,SmokeTC014 - All Scheduler jobs,UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:35,10/17/2025 6:42,0:06:21,PASSED,1,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10876,Smoke,SmokeTC015 - Perform Mass Import Job for Contact,UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:23,10/17/2025 6:35,0:12:22,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-13834,Smoke,SmokeTC020 -  DQI AG Report,UI,None,Nakisa 2024.R1,10/17/2025 6:37,10/17/2025 6:44,0:07:29,PASSED,1,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10881,Smoke,"SmokeTC019 - NFS Mass Export (Unit, Charge, Schedules)",UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:45,10/17/2025 6:58,0:12:56,PASSED,1,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10879,Smoke,SmokeTC018 - Perform Consolidated Transaction Report Job with Profile for (IAS & GAAP),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:34,10/17/2025 6:46,0:11:59,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-6598,Smoke,SmokeTC021 - Disclosure Reports for RUB,UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:48,10/17/2025 6:52,0:04:39,PASSED,1,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-11084,Smoke,SmokeTC023 - Disclosure Reports for CAD,UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:46,10/17/2025 6:54,0:08:12,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-2098,Smoke,SmokeTC024 - NFS Mass Export (Schedules),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:59,10/17/2025 7:07,0:07:23,PASSED,1,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10861,Smoke,"SmokeTC025 - Perform multiple AG Events, then close AG using Casualty",UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:54,10/17/2025 7:12,0:17:41,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-2097,Smoke,SmokeTC026 - Perform Sap External postings (UFCLP Scenario Without GVI),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:58,10/17/2025 7:14,0:16:32,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-10886,Smoke,SmokeTC022 - Perform Mass Work Flow Job with Profile,UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 6:44,10/17/2025 7:15,0:30:40,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-2096,Smoke,SmokeTC027 - NFS Mass Export (Unit),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 7:07,10/17/2025 7:17,0:10:31,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-2083,Smoke,SmokeTC031 - Scheduler jobs for SAP Posting bot.,UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 7:17,10/17/2025 7:18,0:00:34,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-2090,Smoke,SmokeTC028 - Create CPI Global Mass Indexation Profile & Job (Lease & Non-Lease),UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 7:12,10/17/2025 7:19,0:07:37,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
NFS,NFS-14008,Smoke,SmokeTC029 - Contract Expiration Report,UI,None,Nakisa 2023.R4 & Earlier,10/17/2025 7:14,10/17/2025 7:22,0:07:32,PASSED,0,25.40.1-rm-release-n2025-r4.vde24a2ef,rb-env2,release2
